Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-01-01,189.12535095214844,189.99866674677062,188.22008562007076,188.78455588595656,2963643
2015-01-02,188.6248016357422,190.86134044216575,188.35855547947352,189.16795801328362,7331366
2015-01-05,186.55870056152344,189.76440426058238,186.185941672097,188.50767957176805,10103941
2015-01-06,178.09181213378906,185.9516264773224,177.21849626922892,185.31262145828632,18627980
2015-01-07,181.96847534179688,182.92699000748544,178.2835287555138,178.30482844947335,20720312
2015-01-08,179.35919189453125,183.8003060577635,178.95448349019216,183.2038861888668,19872227
2015-01-09,183.24647521972656,183.60858421564294,179.98753691273964,180.71174068581888,13392787
2015-01-12,181.11648559570312,183.3956242759867,179.2633692943345,183.28912579063615,10100113
2015-01-13,179.59349060058594,182.10692561278077,179.0290344848976,181.69156735665987,9948711
2015-01-14,177.8468780517578,180.41356237216016,177.0481110582435,179.56154614157887,11380041
2015-01-15,184.08787536621094,185.54694724575916,178.92255673127204,178.92255673127204,16927085
2015-01-16,185.2487335205078,186.37764577308207,181.4892236693579,183.1825920482193,19136963
2015-01-19,187.3680877685547,188.72064665412026,182.91632415183335,185.3552099905248,13339962
2015-01-20,192.35238647460938,192.884893074836,187.19770381565894,187.76217417752903,13361320
2015-01-21,193.14047241210938,194.13093659194718,190.00933217222018,192.76772777789918,17084297
2015-01-22,188.2414093017578,193.236329437438,187.3361439226893,192.79967151746072,23721627
2015-01-23,188.91236877441406,191.2340922189943,186.8036422628214,189.57267348542948,18080494
2015-01-27,189.37033081054688,190.9998000421227,187.54915011606235,190.19038324040642,17939876
2015-01-28,193.1617889404297,193.7901583875143,188.74197420937347,188.74197420937347,19298126
2015-01-29,197.96499633789062,199.05130914446687,193.17242311034371,193.215022497366,36117653
2015-01-30,194.9510040283203,198.3590545149964,193.61973053010593,198.09279412785193,21746801
2015-02-02,193.41737365722656,195.9414582996459,192.91681666722144,195.12139170498207,19302710
2015-02-03,199.71163940429688,200.4038937014132,194.51435748660288,194.51435748660288,17092333
2015-02-04,197.83721923828125,201.0322589176157,197.21951384194412,200.03114477850693,14072894
2015-02-05,196.7509002685547,200.20153619117158,195.45157620972603,199.3708338625809,12365643
2015-02-06,193.81143188476562,198.09278379928662,192.34171045561953,196.8360735125005,9045844
2015-02-09,190.99978637695312,195.5367487994649,189.9986724027075,191.95830096665662,8839692
2015-02-10,187.86865234375,192.66121122767632,183.45948793303515,191.27670274801648,13651008
2015-02-11,191.85183715820312,192.7145032885045,188.0816771952237,188.7206822975275,9781008
2015-02-12,193.65170288085938,194.67411672541857,188.98694149240245,193.40675637708748,8709626
2015-02-13,195.4302520751953,196.13315614514084,193.6303711872808,194.68473440157572,7393680
2015-02-16,192.2991180419922,196.85738034119814,191.70269819676588,195.6858545626321,12266698
2015-02-18,192.05416870117188,193.40674195129375,190.5098982015268,191.7027095249581,9835036
2015-02-19,192.13937377929688,193.32154951305245,189.0508326787285,193.18308727621294,9550637
2015-02-20,185.97293090820312,190.85070299548755,185.58952219951283,190.6909410725933,18717199
2015-02-23,181.36143493652344,186.75041436301234,180.43486973467347,185.30199239697455,14104463
2015-02-24,179.2313995361328,182.50100245834744,178.28354882945453,181.9578459824675,19946218
2015-02-25,179.59349060058594,182.437085092006,179.14618280312914,180.7969659805008,15274116
2015-02-26,179.3485107421875,181.0525286192651,178.19828481187707,180.22181226161067,21459750
2015-02-27,182.23471069335938,183.39558660147352,179.90233746829074,180.53069262153386,18659378
2015-03-02,184.08787536621094,186.48416233764098,182.23474487913754,185.09963939650848,14579511
2015-03-03,191.8731231689453,193.07658435130193,184.7588261102915,185.09962122387654,20636925
2015-03-04,189.11471557617188,193.75819089585264,187.45329684510713,192.9807236541101,14476047
2015-03-05,188.4970245361328,191.43646774219923,187.04860262798033,190.1051941558906,10716702
2015-03-09,185.23806762695312,189.9454422799333,184.0665559966888,188.5289699451565,14065391
2015-03-10,183.00152587890625,186.5480242014042,182.20275897490757,185.08895261301876,15234060
2015-03-11,182.3199462890625,185.22742579614135,181.56377866713999,183.38495949335052,11635873
2015-03-12,183.9919891357422,184.75880649741728,182.24535748901178,182.75657854263068,11782380
2015-03-13,181.07386779785156,185.22742205442123,180.41356303703287,185.0996238849895,12936157
2015-03-16,179.36984252929688,181.89392737056428,178.98643381725202,181.37207064705345,13839990
2015-03-17,182.51162719726562,183.16128206555757,179.13552625773318,181.16970385507284,19070082
2015-03-18,185.02503967285156,185.7918569807374,182.05364748761033,182.5435545957729,9269885
2015-03-19,182.362548828125,186.7397500451926,181.9258908474523,186.49480354460488,13934612
2015-03-20,181.9258575439453,183.4275284723957,180.75433183845908,182.73526005125544,10405717
2015-03-23,179.337890625,184.03460107470758,178.51782397653736,182.43708138411853,13251683
2015-03-24,180.6159210205078,181.96849438474888,179.36986035596536,179.36986035596536,9238431
2015-03-25,179.96624755859375,180.94606192000595,179.1355310551669,180.83956345001644,10264941
2015-03-26,176.64340209960938,180.89281917340102,175.53578953448115,179.1568371752872,20621346
2015-03-27,172.89456176757812,177.85753299187633,170.71127189154245,177.62322212331762,23326922
2015-03-30,172.6921844482422,174.17255580025198,169.64624297036656,173.938259172148,17330588
2015-03-31,175.9404754638672,177.4101968708332,174.23644322571658,174.23644322571658,20235395
2015-04-01,178.0811767578125,178.70953198123672,173.19275455088655,175.7061896633385,14588531
2015-04-06,175.65289306640625,178.49648690456783,174.96063894440587,178.07047889920176,12334096
2015-04-07,177.39955139160156,178.0918056186698,175.95112964102105,175.95112964102105,21275454
2015-04-08,184.43931579589844,185.20611901740634,177.41021754142855,177.53801570855407,24821205
2015-04-09,190.65899658203125,191.48971310307226,182.92699421553164,184.35411639991418,27276420
2015-04-10,192.62925720214844,193.57712195413177,189.38096878945564,190.62702923588105,25323219
2015-04-13,196.49526977539062,196.97452708581855,191.4364505090701,193.1511184488768,20177342
2015-04-15,196.740234375,200.1376207827185,193.23633528159354,196.17576406274188,22231264
2015-04-16,197.74136352539062,199.79684096944027,195.74978516638853,196.92129682977034,20177302
2015-04-17,197.42184448242188,201.13874061701674,196.5165790498366,199.16846204683267,23958678
2015-04-20,188.64608764648438,199.67964037461152,187.12311708682262,199.64769083817646,37628162
2015-04-21,186.68649291992188,190.74421274878952,185.83449090902553,189.60463642053566,17707007
2015-04-22,187.38941955566406,188.8804409139768,184.67362303583255,187.8473772329052,14761313
2015-04-23,186.81430053710938,189.44488387194738,185.11026812132016,188.2627224030284,13337818
2015-04-24,187.20834350585938,188.39051918484978,185.02506798526454,186.80364931789873,12709854
2015-04-27,186.4415283203125,189.04016192770885,185.62146171252098,187.45329216271597,11042925
2015-04-28,184.29022216796875,187.8686704609745,182.87374979352262,186.3137500689618,14687371
2015-04-29,181.05255126953125,185.42976613438847,180.49874503472927,183.60858551429183,16387960
2015-04-30,183.68313598632812,184.43930352903834,180.61589486678614,181.0525527941781,34802149
2015-05-04,189.7750701904297,190.40342547870793,183.28912752729445,184.50323870930708,15078502
2015-05-05,190.03065490722656,192.08613244297527,188.52898368535145,190.36081441345635,17846755
2015-05-06,187.4958953857422,191.01044429016977,185.73861382415149,189.57267234489206,22438208
2015-05-07,185.4723663330078,187.1124853516761,183.18257823977473,186.3776317237919,16735535
2015-05-08,191.8964385986328,192.76997354027543,185.7278026704734,187.8630975074672,17104443
2015-05-11,193.24447631835938,193.99937253637208,190.53759940455888,192.57583791046122,14214007
2015-05-12,187.3670196533203,193.01800796512248,186.60133936729392,193.01800796512248,16650201
2015-05-13,190.904296875,191.6699916219518,184.88663676579762,188.36997842746317,16701434
2015-05-14,189.416015625,191.1415172285547,187.71209646949217,191.09836673035826,12329713
2015-05-15,188.49937438964844,191.3033077381425,187.6689899301933,190.21409223822505,8331715
2015-05-18,192.2954559326172,192.8238876120103,188.12192262823677,188.70427443839466,9847540
2015-05-19,193.15823364257812,195.14255232185755,191.22783510155077,192.2307784688409,14513036
2015-05-20,196.02684020996094,196.490567757141,193.6219302602409,194.20429649932248,8708891
2015-05-21,193.41702270507812,197.43957962785979,192.84545492326956,196.54447666480732,10759523
2015-05-22,194.9484100341797,195.32586537004315,193.47095516902235,193.47095516902235,8349048
2015-05-25,192.93174743652344,195.84352118046095,192.4680198670267,194.1180192294312,6617337
2015-05-26,190.79641723632812,193.25524698420838,190.3866098786985,193.0395520811887,9510249
2015-05-27,190.9474334716797,192.15528774633188,189.8474338700129,191.0984098567985,8078236
2015-05-28,188.8983917236328,192.87781265868432,188.0787769193217,191.0660386272173,26538868
2015-05-29,189.15719604492188,191.19543434355322,188.31601330653854,189.78268388730837,29277517
2015-06-01,194.60328674316406,195.1748689004608,189.37289030516885,189.8042657306145,19594976
2015-06-02,193.8268280029297,198.17290566214237,192.27388506594002,195.3582028879292,20178960
2015-06-03,193.33074951171875,196.37193124706977,191.63761422713773,193.90231729061682,15546279
2015-06-04,196.8572235107422,197.6121197199217,192.51113150185242,195.02388152032302,15931395
2015-06-05,195.78958129882812,197.77389970365346,195.07780677654583,196.25330882155788,13066337
2015-06-08,190.97976684570312,196.27488221056336,190.47290320455636,195.58467572183218,10846953
2015-06-09,190.60232543945312,192.10133390831174,189.23271088979416,190.56995896227934,9153355
2015-06-10,195.3689727783203,196.25329164173195,190.8826887078706,191.09836921216734,13509379
2015-06-11,189.1895751953125,196.167041877973,188.4346645481308,195.4121312307913,14676438
2015-06-12,191.92877197265625,192.5434758206847,189.42680608088114,189.58858086039226,21543824
2015-06-15,194.4954376220703,195.1964280556834,191.96111971124043,193.0179829763612,12858570
2015-06-16,194.97000122070312,195.19648020825247,192.6513775922252,193.90235364513123,13929305
2015-06-17,200.8474578857422,203.25236800009753,192.82391108484754,195.20725314427148,26232634
2015-06-18,211.146484375,211.8043244243235,201.12783526663222,201.13861929370472,49366799
2015-06-19,214.96414184570312,217.06708468419822,211.9121758435785,211.9121758435785,45710935
